epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,508.604,1.09152,0.95249,1.21653,0.8302254893737141,0.669289594130455,0.7489629268590716,0.3985327394835684,1.537575785079411,1.02892977546938,1.4367052472288633,0.000675023,0.000675023,0.000675023
15,542.331,1.08731,0.9275,1.20917,0.8591034543573233,0.7020225020579608,0.7552720775528051,0.4076751038215656,1.5582441339403037,1.0158153981559872,1.4913189391600592,0.000657025,0.000657025,0.000657025
16,575.982,1.06114,0.89941,1.19272,0.907777625042489,0.6965089432798885,0.7616433883246755,0.44304379775858593,1.4795906360051414,0.9346667747379518,1.4036432144290039,0.000639027,0.000639027,0.000639027
17,609.872,1.06029,0.87876,1.18694,0.9210490827423594,0.6932647275447701,0.7672360370159338,0.40598481997145797,1.6460248962193524,0.9967197636144338,1.4927510624265725,0.000621029,0.000621029,0.000621029
18,644.074,1.05332,0.86432,1.18081,0.8667880551029203,0.7162474449428278,0.7635136178383274,0.41838255166427546,1.5496335171290965,0.933367284849612,1.4559586604388906,0.000603031,0.000603031,0.000603031
19,678.086,1.03031,0.84478,1.17383,0.884208298349432,0.7166928061727396,0.7874309387632978,0.41131228502331707,1.4994312594843697,0.9271605786146663,1.462073667625904,0.000585032,0.000585032,0.000585032
20,711.914,1.01181,0.83595,1.16352,0.9067058074894513,0.7144608176607461,0.7771479342294936,0.4256975232526484,1.4764462363750055,0.904117012412692,1.427955478702736,0.000567034,0.000567034,0.000567034
21,745.801,1.00981,0.81598,1.15414,0.9074339675749281,0.7201746067129337,0.8005813633108534,0.45880309776062445,1.4745983315411564,0.886363693093154,1.3845153192007298,0.000549036,0.000549036,0.000549036
22,779.676,0.99045,0.79463,1.1476,0.8864132677932514,0.7194476565229841,0.7982417606314289,0.43483583767548706,1.529830373644593,0.886841365235253,1.4478489537172436,0.000531038,0.000531038,0.000531038
23,813.995,0.98395,0.78315,1.13836,0.9164450291167953,0.7426716564377782,0.8151158983339423,0.47741207433163846,1.43157914953123,0.846599606252522,1.4015631113642686,0.00051304,0.00051304,0.00051304
